"Date","Low","High"
"2019-01-01",22.3,38.7
"2019-01-02",22.3,38.7
"2019-01-03",22.3,38.7
"2019-01-04",22.2,38.8
"2019-01-05",22.2,38.8
"2019-01-06",22.2,38.9
"2019-01-07",22.2,38.9
"2019-01-08",22.2,39
"2019-01-09",22.2,39
"2019-01-10",22.2,39.1
"2019-01-11",22.2,39.1
"2019-01-12",22.2,39.2
"2019-01-13",22.2,39.2
"2019-01-14",22.2,39.3
"2019-01-15",22.2,39.4
"2019-01-16",22.2,39.4
"2019-01-17",22.2,39.5
"2019-01-18",22.2,39.6
"2019-01-19",22.2,39.7
"2019-01-20",22.2,39.7
"2019-01-21",22.2,39.8
"2019-01-22",22.3,39.9
"2019-01-23",22.3,40
"2019-01-24",22.3,40.2
"2019-01-25",22.4,40.3
"2019-01-26",22.4,40.4
"2019-01-27",22.5,40.6
"2019-01-28",22.6,40.7
"2019-01-29",22.6,40.9
"2019-01-30",22.7,41
"2019-01-31",22.8,41.2
"2019-02-01",22.9,41.4
"2019-02-02",23,41.6
"2019-02-03",23.2,41.8
"2019-02-04",23.3,42.1
"2019-02-05",23.5,42.3
"2019-02-06",23.6,42.6
"2019-02-07",23.8,42.9
"2019-02-08",24,43.1
"2019-02-09",24.2,43.4
"2019-02-10",24.4,43.8
"2019-02-11",24.6,44.1
"2019-02-12",24.8,44.4
"2019-02-13",25.1,44.8
"2019-02-14",25.3,45.1
"2019-02-15",25.6,45.5
"2019-02-16",25.8,45.9
"2019-02-17",26.1,46.2
"2019-02-18",26.4,46.6
"2019-02-19",26.7,47
"2019-02-20",27,47.4
"2019-02-21",27.2,47.9
"2019-02-22",27.5,48.3
"2019-02-23",27.8,48.7
"2019-02-24",28.1,49.1
"2019-02-25",28.5,49.5
"2019-02-26",28.8,50
"2019-02-27",29.1,50.4
"2019-02-28",29.4,50.8
"2019-03-01",29.7,51.2
"2019-03-02",30,51.6
"2019-03-03",30.3,52.1
"2019-03-04",30.5,52.5
"2019-03-05",30.8,52.9
"2019-03-06",31.1,53.3
"2019-03-07",31.4,53.7
"2019-03-08",31.6,54
"2019-03-09",31.9,54.4
"2019-03-10",32.2,54.8
"2019-03-11",32.4,55.1
"2019-03-12",32.7,55.5
"2019-03-13",32.9,55.8
"2019-03-14",33.1,56.2
"2019-03-15",33.3,56.5
"2019-03-16",33.5,56.8
"2019-03-17",33.7,57.1
"2019-03-18",33.9,57.4
"2019-03-19",34.1,57.7
"2019-03-20",34.3,58
"2019-03-21",34.5,58.3
"2019-03-22",34.7,58.5
"2019-03-23",34.9,58.8
"2019-03-24",35,59.1
"2019-03-25",35.2,59.3
"2019-03-26",35.4,59.6
"2019-03-27",35.5,59.8
"2019-03-28",35.7,60
"2019-03-29",35.8,60.3
"2019-03-30",36,60.5
"2019-03-31",36.2,60.8
"2019-04-01",36.3,61
"2019-04-02",36.5,61.2
"2019-04-03",36.6,61.5
"2019-04-04",36.8,61.7
"2019-04-05",37,61.9
"2019-04-06",37.2,62.2
"2019-04-07",37.3,62.4
"2019-04-08",37.5,62.7
"2019-04-09",37.7,62.9
"2019-04-10",37.9,63.2
"2019-04-11",38.1,63.5
"2019-04-12",38.3,63.7
"2019-04-13",38.6,64
"2019-04-14",38.8,64.3
"2019-04-15",39,64.6
"2019-04-16",39.2,64.9
"2019-04-17",39.5,65.2
"2019-04-18",39.7,65.5
"2019-04-19",40,65.8
"2019-04-20",40.2,66.1
"2019-04-21",40.5,66.4
"2019-04-22",40.7,66.7
"2019-04-23",41,67
"2019-04-24",41.3,67.4
"2019-04-25",41.5,67.7
